"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Sexe","Nombre"
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","1 dona",6143
2019,7,"Horta-Guinardó",34,"Can Baró","1 dona",2120
2019,7,"Horta-Guinardó",35,"el Guinardó","1 dona",8571
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","1 dona",2070
2019,7,"Horta-Guinardó",37,"el Carmel","1 dona",7197
2019,7,"Horta-Guinardó",38,"la Teixonera","1 dona",2777
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","1 dona",1669
2019,7,"Horta-Guinardó",40,"Montbau","1 dona",1197
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","1 dona",1396
2019,7,"Horta-Guinardó",42,"la Clota","1 dona",154
2019,7,"Horta-Guinardó",43,"Horta","1 dona",6109
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","1 dona",5947
2019,8,"Nou Barris",45,"Porta","1 dona",5919
2019,8,"Nou Barris",46,"el Turó de la Peira","1 dona",3407
2019,8,"Nou Barris",47,"Can Peguera","1 dona",501
2019,8,"Nou Barris",48,"la Guineueta","1 dona",3629
2019,8,"Nou Barris",49,"Canyelles","1 dona",1653
2019,8,"Nou Barris",50,"les Roquetes","1 dona",3085
2019,8,"Nou Barris",51,"Verdun","1 dona",2819
2019,8,"Nou Barris",52,"la Prosperitat","1 dona",6128
2019,8,"Nou Barris",53,"la Trinitat Nova","1 dona",1458
2019,8,"Nou Barris",54,"Torre Baró","1 dona",409
2019,8,"Nou Barris",55,"Ciutat Meridiana","1 dona",1827
2019,8,"Nou Barris",56,"Vallbona","1 dona",211
2019,9,"Sant Andreu",57,"la Trinitat Vella","1 dona",1701
2019,9,"Sant Andreu",58,"Baró de Viver","1 dona",482
2019,9,"Sant Andreu",59,"el Bon Pastor","1 dona",2316
2019,9,"Sant Andreu",60,"Sant Andreu","1 dona",13542
2019,9,"Sant Andreu",61,"la Sagrera","1 dona",6771
2019,9,"Sant Andreu",62,"el Congrés i els Indians","1 dona",3259
2019,9,"Sant Andreu",63,"Navas","1 dona",5164
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","1 dona",9150
2019,10,"Sant Martí",65,"el Clot","1 dona",5870
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","1 dona",3469
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","1 dona",1684
2019,10,"Sant Martí",68,"el Poblenou","1 dona",7230
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","1 dona",2809
2019,10,"Sant Martí",70,"el Besòs i el Maresme","1 dona",4293
2019,10,"Sant Martí",71,"Provençals del Poblenou","1 dona",4392
2019,10,"Sant Martí",72,"Sant Martí de Provençals","1 dona",6163
2019,10,"Sant Martí",73,"la Verneda i la Pau","1 dona",6542
2019,1,"Ciutat Vella",1,"el Raval","2 dones",3122
2019,1,"Ciutat Vella",2,"el Barri Gòtic","2 dones",1164
2019,1,"Ciutat Vella",3,"la Barceloneta","2 dones",1145
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","2 dones",1733
