"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS","3ER_NIVELL","2N_NIVELL","1ER_NIVELL",
"99400076514","Punt Verd Mòbil *Passeig Manuel Girona-Pedro i Pons","#","Pg","Manuel Girona","13","13","23","Sarrià","05","Sarrià-Sant Gervasi","08034","019","BARCELONA","41.390493","2.12167","426568.381","4582479.163","426660.278","4582680.1","","","","01/01","31/12","1111011","16:30:00","19:15:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"99400076515","Punt Verd Mòbil *Lepant-Taxdirt","#","C","Lepant","410","410","33","el Baix Guinardó","07","Horta-Guinardó","08025","019","BARCELONA","41.410596","2.16896","430543.444","4584671.959","430635.377","4584872.918","","","","01/01","31/12","1101111","16:30:00","19:15:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"99400076515","Punt Verd Mòbil *Lepant-Taxdirt","#","C","Lepant","410","410","33","el Baix Guinardó","07","Horta-Guinardó","08025","019","BARCELONA","41.410596","2.16896","430543.444","4584671.959","430635.377","4584872.918","","","","01/01","31/12","1101111","16:30:00","19:15:00","","","Punt verd mòbil","Medi ambient",
"99400076516","Punt Verd Mòbil *Déu i Mata-Numància","#","C","Numància","141","141","19","les Corts","04","Les Corts","08029","019","BARCELONA","41.387538","2.134427","427631.718","4582140.329","427723.625","4582341.264","","","","01/01","31/12","1011111","16:30:00","19:15:00","","","Punt verd mòbil","Medi ambient",
"99400076516","Punt Verd Mòbil *Déu i Mata-Numància","#","C","Numància","141","141","19","les Corts","04","Les Corts","08029","019","BARCELONA","41.387538","2.134427","427631.718","4582140.329","427723.625","4582341.264","","","","01/01","31/12","1011111","16:30:00","19:15:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"99400076518","Punt Verd Mòbil *Plaça Bonanova-Passeig Bonanova","#","Pl","Bonanova","4","4","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.40668","2.134171","427631.478","4584265.702","427723.384","4584466.656","","","","01/01","31/12","1110111","16:30:00","19:15:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"99400076518","Punt Verd Mòbil *Plaça Bonanova-Passeig Bonanova","#","Pl","Bonanova","4","4","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.40668","2.134171","427631.478","4584265.702","427723.384","4584466.656","","","","01/01","31/12","1110111","16:30:00","19:15:00","","","Punt verd mòbil","Medi ambient",
"99400076519","Punt Verd Mòbil *Avinguda Josep Tarradellas-Gelabert","#","Av","Josep Tarradellas","117","117","19","les Corts","04","Les Corts","08029","019","BARCELONA","41.388996","2.142962","428346.905","4582295.051","428438.818","4582495.987","","","","01/01","31/12","1111101","16:30:00","19:15:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"99400076519","Punt Verd Mòbil *Avinguda Josep Tarradellas-Gelabert","#","Av","Josep Tarradellas","117","117","19","les Corts","04","Les Corts","08029","019","BARCELONA","41.388996","2.142962","428346.905","4582295.051","428438.818","4582495.987","","","","01/01","31/12","1111101","16:30:00","19:15:00","","","Punt verd mòbil","Medi ambient",
"99400076520","Punt Verd Mòbil *Riera Blanca-Sants","#","C","Sants","390","390","20","la Maternitat i Sant Ramon","04","Les Corts","08028","019","BARCELONA","41.376076","2.121924","426573.477","4580878.363","426665.374","4581079.286","","","","01/01","31/12","1111011","16:30:00","19:15:00","","Punt verd mòbil","Medi ambient","Medi ambient",
