ID_Pas,Codi_Pas,M2_Pas,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Longitud,Latitud,X_ETRS89,Y_ETRS89,Data_Alta,Data_Baixa
8151905,255128000_Taco,1.50,1,Ciutat Vella,1,el Raval,2.1634672,41.3803474,430051.972,4581318.185,2000/01/01,2018/03/26
8154823,255128000_Taco,4.25,1,Ciutat Vella,1,el Raval,2.1719119,41.3825623,430760.453,4581557.250,2000/01/01,2017/10/19
8154842,255128000_Taco,4.25,1,Ciutat Vella,1,el Raval,2.1723327,41.3820683,430795.110,4581502.151,2000/01/01,2017/10/19
8154868,255128000_Taco,3.50,1,Ciutat Vella,1,el Raval,2.1730064,41.3812821,430850.606,4581414.316,2000/01/01,2017/10/19
8154889,255128000_Taco,3.25,1,Ciutat Vella,1,el Raval,2.1739497,41.3801899,430928.325,4581292.334,2000/01/01,2017/10/19
8154896,255128000_Taco,1.75,1,Ciutat Vella,1,el Raval,2.1739652,41.3801638,430929.597,4581289.376,2000/01/01,2017/10/19
8154910,255128000_Taco,2.50,1,Ciutat Vella,1,el Raval,2.1740149,41.3800502,430933.631,4581276.697,2000/01/01,2017/10/19
8154924,255128000_Taco,3.25,1,Ciutat Vella,1,el Raval,2.1745516,41.3794888,430977.922,4581214.007,2000/01/01,2017/10/19
8154931,255128000_Taco,3.25,1,Ciutat Vella,1,el Raval,2.1746503,41.3793724,430986.048,4581200.959,2000/01/01,2017/10/19
8154938,255128000_Taco,3.25,1,Ciutat Vella,1,el Raval,2.1746812,41.3793394,430988.587,4581197.258,2000/01/01,2017/10/19
8154945,255128000_Taco,3.15,1,Ciutat Vella,1,el Raval,2.1745759,41.3793920,430979.849,4581203.221,2000/01/01,2017/10/19
8154952,255128000_Taco,2.42,1,Ciutat Vella,1,el Raval,2.1745337,41.3793584,430976.287,4581199.471,2000/01/01,2017/10/19
8154962,255128000_Taco,2.34,1,Ciutat Vella,1,el Raval,2.1739422,41.3800652,430927.567,4581278.459,2000/01/01,2017/10/19
8154967,255128000_Taco,2.47,1,Ciutat Vella,1,el Raval,2.1732759,41.3794216,430871.180,4581207.536,2000/01/01,2018/03/20
8155092,255128000_Taco,2.48,1,Ciutat Vella,1,el Raval,2.1715316,41.3829109,430729.021,4581596.262,2000/01/01,2017/10/19
8144323,255128000_Taco,4.00,1,Ciutat Vella,1,el Raval,2.1639729,41.3841384,430098.321,4581738.619,2000/01/01,2015/11/04
8156051,255128000_Taco,3.98,1,Ciutat Vella,1,el Raval,2.1679198,41.3753608,430418.969,4580760.962,2000/01/01,2015/03/31
8156059,255128000_Taco,3.98,1,Ciutat Vella,1,el Raval,2.1678790,41.3753330,430415.531,4580757.984,2000/01/01,2015/03/31
8156073,255128000_Taco,2.99,1,Ciutat Vella,1,el Raval,2.1697954,41.3751170,430575.564,4580732.419,2000/01/01,2020/02/12
8156087,255128000_Taco,1.37,1,Ciutat Vella,1,el Raval,2.1701580,41.3751369,430605.900,4580734.383,2000/01/01,
8156478,255128000_Taco,7.25,1,Ciutat Vella,1,el Raval,2.1667884,41.3759065,430324.943,4580822.475,2000/01/01,2015/03/31
8156520,255128000_Taco,7.02,1,Ciutat Vella,1,el Raval,2.1674830,41.3753815,430382.468,4580763.685,2000/01/01,2015/03/31
8148750,255128000_Taco,2.92,1,Ciutat Vella,1,el Raval,2.1710609,41.3837750,430690.575,4581692.635,2000/01/01,2017/10/19
8156673,255128000_Taco,4.83,1,Ciutat Vella,1,el Raval,2.1670290,41.3758693,430345.020,4580818.212,2000/01/01,2020/05/28
8156740,255128000_Taco,7.50,1,Ciutat Vella,1,el Raval,2.1631285,41.3789404,430022.140,4581162.287,2000/01/01,2015/12/02
8160880,255128000_Taco,6.64,1,Ciutat Vella,1,el Raval,2.1761785,41.3770720,431111.401,4580944.346,2000/01/01,2020/06/18
8160894,255128000_Taco,3.97,1,Ciutat Vella,1,el Raval,2.1763562,41.3770229,431126.205,4580938.803,2000/01/01,
8160939,255128000_Taco,2.50,1,Ciutat Vella,1,el Raval,2.1756440,41.3762266,431065.814,4580850.956,2000/01/01,2020/06/14
8160954,255128000_Taco,5.94,1,Ciutat Vella,1,el Raval,2.1753388,41.3761535,431040.212,4580843.121,2000/01/01,2020/06/14
8151331,255128000_Taco,7.50,1,Ciutat Vella,1,el Raval,2.1633402,41.3804911,430041.508,4581334.217,2000/01/01,2015/10/20
8151428,255128000_Taco,7.50,1,Ciutat Vella,1,el Raval,2.1636064,41.3825237,430065.940,4581559.645,2000/01/01,
8151458,255128000_Taco,7.50,1,Ciutat Vella,1,el Raval,2.1637142,41.3832886,430075.783,4581644.478,2000/01/01,2020/07/09
8154800,255128000_Taco,2.50,1,Ciutat Vella,1,el Raval,2.1716168,41.3830079,430736.249,4581607.016,2000/01/01,2017/10/19
8154813,255128000_Taco,4.25,1,Ciutat Vella,1,el Raval,2.1718833,41.3825955,430758.095,4581561.007,2000/01/01,2017/10/19
8161087,255128000_Taco,7.86,1,Ciutat Vella,1,el Raval,2.1772680,41.3758696,431201.244,4580810.035,2000/01/01,2020/06/14
